Class Index,Title,Description,desc_length,clean_desc
2,Back to School as Wie Plays a Waiting Game, EDINBURGH (Reuters) - Amateur prodigy Michelle Wie will  spend an uninterrupted few weeks studying at Punahou High  School in Honolulu before the 15-year-old returns to learning  her trade as a would-be professional golfer.,33,edinburgh reuter amateur prodigi michel wie spend uninterrupt week studi punah high school honolulu 15yearold return learn trade wouldb profession golfer
4,EverQuest II Hunts Newbies,"The latest massively multiplayer game is aiming to provide a softer, gentler experience for those intimidated by the original EverQuest. For the most part, it succeeds. Review by Daniel Terdiman.",30,latest massiv multiplay game aim provid softer gentler experi intimid origin everquest part succe review daniel terdiman
1,Court Doctors Examine Pinochet for Trial," SANTIAGO, Chile (Reuters) - Three court-appointed doctors  examined Chile's former military dictator Augusto Pinochet on  Thursday, a key step that will decide whether the 88-year-old  general will stand trial for human rights abuses.",33,santiago chile reuter three courtappoint doctor examin chile former militari dictat augusto pinochet thursday key step decid whether 88yearold gener stand trial human right abus
4,Downloader.GK 'Worst Trojan of 2004' (NewsFactor),"NewsFactor - The Downloader.GK Trojan was named as the worst piece of malicious code of 2004, according to Spanish anti-virus firm Panda Software.",23,newsfactor downloadergk trojan name worst piec malici code 2004 accord spanish antiviru firm panda softwar
3,Dollar Treads Water as U.S. Data Awaited, TOKYO (Reuters) - The dollar shuffled in narrow ranges on  Tuesday as the market looked to U.S. economic indicators due  later in the day for clues about the pace of monetary  tightening.,32,tokyo reuter dollar shuffl narrow rang tuesday market look us econom indic due later day clue pace monetari tighten
1,Stocks Are Set to Open Slightly Higher,NEW YORK - U.S. stocks are seen slightly higher at the open but a swathe of economic data is likely to influence overall sentiment and direction...,26,new york us stock seen slightli higher open swath econom data like influenc overal sentiment direct
1,"UK wants partial smoking ban, limit on junk food ads",LONDON: Britain will announce plans today for a ban on smoking in many public places and a crackdown on television advertising of  quot;junk food quot; aimed at children.,28,london britain announc plan today ban smoke mani public place crackdown televis advertis quotjunk food quot aim children
4,2004 U.S. Hurricane Season Among Worst on Record,"Insurance adjusters and meteorologists are still crunching numbers and analyzing data, but the 2004 U.S. hurricane season will likely go down as one of the most active on record.",29,insur adjust meteorologist still crunch number analyz data 2004 us hurrican season like go one activ record
2,Ace is wild,NEW YORK -- Slice it any which way and the pie looks the same. The piece that represents the odds of the Red Sox overtaking the Yankees for the division title after a lost weekend in the Bronx is skinnier than Calista Flockhart.,43,new york slice way pie look piec repres odd red sox overtak yanke divis titl lost weekend bronx skinnier calista flockhart
2,CRB Button hearing adjourned,Motorsport.com. The Contract Recognition Board (CRB) hearing of the Jenson Button/BAR/Williams case has been adjourned until October 16th.,18,motorsportcom contract recognit board crb hear jenson buttonbarwilliam case adjourn octob 16th
4,Shareholders rubber-stamp Microsoft payout,Approval of changes to employee stock compensation paves way for \$32 billion bonanza for shareholders.,15,approv chang employe stock compens pave way 32 billion bonanza sharehold
2,Bronze possible for Hill,"ATHENS -- Shawn Hill #39;s Olympics are over, but it remains to be seen if he will bring back a medal from Athens. The 23-year-old Mississauga pitcher tossed six quality innings in Canada #39;s 8-5 loss to Cuba on Tuesday night, ending up with a no decision.",47,athen shawn hill 39 olymp remain seen bring back medal athen 23yearold mississauga pitcher toss six qualiti inning canada 39 85 loss cuba tuesday night end decis
4,Yahoo boosts music portal (SiliconValley.com),"SiliconValley.com - Yahoo, seeking to add e-commerce to its Internet music portal, will pay  #36;160 million in cash to acquire Musicmatch, a critically acclaimed but little known music jukebox and download service.",32,siliconvalleycom yahoo seek add ecommerc internet music portal pay 36160 million cash acquir musicmatch critic acclaim littl known music jukebox download servic
4,US moviemakers go after  #39;parasites #39;,The Motion Picture Association of America is launching civil and criminal actions worldwide against movie pirates in a bid to curb illegal film downloading.,24,motion pictur associ america launch civil crimin action worldwid movi pirat bid curb illeg film download
2,Brees kept offense cool,"If ever there were a time for the Chargers offense to panic, this was it. In fact, it seemed as if the group already was a bit unnerved.",28,ever time charger offens panic fact seem group alreadi bit unnerv
2,Sky #39;s the limit when it comes to Sox spending,"If you want to get a rise out of a small-market general manager, ask him about the Red Sox being limited by their budget. Already this weekend at the winter meetings, we #39;ve ",33,want get rise smallmarket gener manag ask red sox limit budget alreadi weekend winter meet 39ve
3,Charley #39;s insured losses seen hitting \$7.4 billion,"NEW YORK, Aug 18 (Reuters) - Insurance payments to victims of Hurricane Charley are expected to reach \$7.4 billion, making it the second most costly hurricane to hit the United States, an insurance industry group said on Wednesday. ",38,new york aug 18 reuter insur payment victim hurrican charley expect reach 74 billion make second costli hurrican hit unit state insur industri group said wednesday
1,Iraq Awards First Post-War Oilfield Contracts," BAGHDAD (Reuters) - Iraq's oil ministry has awarded the  country's first post-war oilfield development contracts to  Turkish and Canadian firms, an oil official said on Thursday.",26,baghdad reuter iraq oil ministri award countri first postwar oilfield develop contract turkish canadian firm oil offici said thursday
2,"Toomer, O #39;Hara still questionable for Giants","New York Giants receiver Amani Toomer returned to practice Friday and participated in some individual drills, but his status for Sunday #39;s game against the Minnesota Vikings is still undecided.",30,new york giant receiv amani toomer return practic friday particip individu drill statu sunday 39 game minnesota vike still undecid
2,McLeish hails duo at heart of Gers #39; derby resurgence,RANGERS manager Alex McLeish has hailed Alex Rae and Dado Prso as the pillars of strength who have helped turn around the clubs derby-day fortunes.,25,ranger manag alex mcleish hail alex rae dado prso pillar strength help turn around club derbyday fortun
4,Space station crew to search for AIDS vaccine,"The next crew of the International Space Station (ISS) is to contribute to the Russian search for a vaccine against AIDS, Russian cosmonaut Salijan Sharipov said on Friday.",28,next crew intern space station iss contribut russian search vaccin aid russian cosmonaut salijan sharipov said friday
4,UK Seeks Global Support for Stem Cell Research (Reuters),Reuters - Britain's leading scientific institution\said Monday it is urging countries to back a campaign to stop a\possible ban on stem cell research as part of a global treaty\banning human cloning.,31,reuter britain lead scientif institutionsaid monday urg countri back campaign stop aposs ban stem cell research part global treatyban human clone
1,Hong Kong pro-Beijing politicians accuse opponents of misleading public over sex scandal,"Human rights activists on Wednesday condemned the detention of a Hong Kong pro-democracy politician for allegedly having sex with a prostitute, and his sentencing without trial to six months of  quot;re-education through labor. quot; ...",35,human right activist wednesday condemn detent hong kong prodemocraci politician allegedli sex prostitut sentenc without trial six month quotreeduc labor quot
4,NASA Picks Swede Launch Site for Balloons (AP),"AP - NASA has agreed to launch its largest scientific balloons from a site in northern Sweden, a spokesman said Tuesday.",21,ap nasa agre launch largest scientif balloon site northern sweden spokesman said tuesday
4,Stripped down Longhorn still offers gems,"SEPTEMBER 06, 2004 (IDG NEWS SERVICE) - Even though Microsoft Corp. #39;s much-anticipated Longhorn has been stripped of its unified file system and some of its other key Longhorn technologies will be available for Windows XP and Windows Server 2003, the next ",42,septemb 06 2004 idg news servic even though microsoft corp 39 muchanticip longhorn strip unifi file system key longhorn technolog avail window xp window server 2003 next
2,US Women Win Bronze Medal in Water Polo,Center fielder Ellen Estes scored three goals including the decider to help the United States beat Australia 6-5 Thursday in the Olympic women #39;s water polo bronze medal game.,29,center fielder ellen est score three goal includ decid help unit state beat australia 65 thursday olymp women 39 water polo bronz medal game
4,Intel Takes Aim at Microsoft with Linux Push,"Intel, the worlds largest semiconductor and Microprocessor Company, is officially helping China and other Asian countries adopt Linux over Microsofts popular Windows platform.",23,intel world largest semiconductor microprocessor compani offici help china asian countri adopt linux microsoft popular window platform
1,Bickering Iraqis Strive to Build Voting Coalition,"Established Shiite parties and powerful upstarts are feuding, causing their leading cleric to try to pull them together to ensure that the Shiites clearly dominate the new government.",28,establish shiit parti power upstart feud caus lead cleric tri pull togeth ensur shiit clearli domin new govern
2,Hamm Admits He Will Be Shocked if He Loses Gold, LONDON (Reuters) - Olympic all-round champion Paul Hamm  admitted he would be stunned if he lost the gold medal he was  awarded in Athens following a judging error.,28,london reuter olymp allround champion paul hamm admit would stun lost gold medal award athen follow judg error
2,Knicks #39; new look looking good,Already there are tales of Stephon Marbury and Jamal Crawford finishing each other #39;s sentences. The energetic backcourt tandem officially began trading phone calls when ,25,alreadi tale stephon marburi jamal crawford finish 39 sentenc energet backcourt tandem offici began trade phone call
1,Australia defies Iraq kidnap claim,Australia's PM says he will not negotiate with terrorists who claim to have taken two Australians hostage.,17,australia pm say negoti terrorist claim taken two australian hostag
3,AirTran CEO Sees Another Airline Liquidation Soon,"The US airline industry, riddled with excess supply, will see a significant drop in capacity, or far fewer seats, as a result of at least one airline liquidating in the next year, according to AirTran Airways Chief Executive Joe Leonard.",40,us airlin industri riddl excess suppli see signific drop capac far fewer seat result least one airlin liquid next year accord airtran airway chief execut joe leonard
1,North Korea says Bush worse than Hitler,North Korea has described US President George W. Bush as a tyrannical political imbecile. who put Adolf Hitler in the shade and said Pyongyang could see no justification for talks with his administration.,33,north korea describ us presid georg w bush tyrann polit imbecil put adolf hitler shade said pyongyang could see justif talk administr
1,Aid Flights Resume in Indonesia's Aceh," BANDA ACEH, Indonesia (Reuters) - Salvage crews dragged a  damaged Boeing 737 cargo jet off the runway at Banda Aceh  airport on Tuesday, clearing the way for flights to resume  bringing in relief aid for Indonesian quake and tsunami  victims.",40,banda aceh indonesia reuter salvag crew drag damag boe 737 cargo jet runway banda aceh airport tuesday clear way flight resum bring relief aid indonesian quak tsunami victim
2,Kite clings to lead at Schwab Cup Championship,"Sonoma, CA (Sports Network) - Tom Kite carded a two-under 70 Friday to remain atop the leaderboard through two rounds of the Champions Tour #39;s season-ending Charles Schwab Cup Championship.",30,sonoma ca sport network tom kite card twounder 70 friday remain atop leaderboard two round champion tour 39 seasonend charl schwab cup championship
2,"Venus, Roddick ousted from Olympics","Athens, Greece, Aug. 18 (UPI) -- Americans Andy Roddick and Venus Williams were shockingly eliminated in the third round of the Olympic tennis tournament Wednesday. ",25,athen greec aug 18 upi american andi roddick venu william shockingli elimin third round olymp tenni tournament wednesday
3,Callaway expecting subpar numbers,"Callaway Golf Co., which has struggled in recent months amid lackluster demand for its equipment, warned yesterday that its results for the third quarter and the year could be far below previous forecasts.",33,callaway golf co struggl recent month amid lacklust demand equip warn yesterday result third quarter year could far previou forecast
2,Father bets son against Aussies,WELFARE authorities in the Solomon Islands have reacted with outrage after a local soccer fan reportedly offered his eight-year-old son as bait for a bet on the Solomons #39; clash with Australia.,32,welfar author solomon island react outrag local soccer fan reportedli offer eightyearold son bait bet solomon 39 clash australia
1,U.S.-Japanese deal on beef imports called election ploy by Canadian cattlemen (Canadian Press),"Canadian Press - TOKYO (CP) - U.S. and Japanese negotiators struck a deal Saturday to allow  limited imports of U.S. beef into Japan but a Canadian beef industry spokesman called it a rehash of previous agreements and ""election hype.""",39,canadian press tokyo cp us japanes negoti struck deal saturday allow limit import us beef japan canadian beef industri spokesman call rehash previou agreement elect hype
3,Foreign buyers are back,"Cross-border investment is rebounding after three lean years as companies take advantage of higher profits and a strong global economy to snap up foreign rivals, the United Nations said yesterday.",30,crossbord invest rebound three lean year compani take advantag higher profit strong global economi snap foreign rival unit nation said yesterday
4,Apple to expand European iTunes next month,"Speaking at the annual Popkomm conference in Berlin, Germany, Apple vice-president of applications Eddie Cue told music executives that the company will expand the online iTunes Music Store ",28,speak annual popkomm confer berlin germani appl vicepresid applic eddi cue told music execut compani expand onlin itun music store
3,MCI Offers to Pay Part of States' Claims (Reuters),"Reuters - MCI Inc. (MCIP.O) has offered to pay\states from 2 cents to 30 cents on the dollar to settle charges\it owes them as much as  #36;2 billion in back taxes, people\familiar with the matter said on Thursday.",38,reuter mci inc mcipo offer paystat 2 cent 30 cent dollar settl chargesit owe much 362 billion back tax peoplefamiliar matter said thursday
2,"California, Mexico advance to next level","SOUTH WILLIAMSPORT, Pa. -- Looking ahead to the US championship game almost cost Conejo Valley in the semifinals of the Little League World Series.",24,south williamsport pa look ahead us championship game almost cost conejo valley semifin littl leagu world seri
3,Google Slashes IPO Price Range,"NEW YORK (Reuters) - Google Inc., the Web search engine, on Wednesday slashed the price range on its eagerly awaited initial public offering to between \$85 and \$95 per share from \$108 to \$135 per share. ",36,new york reuter googl inc web search engin wednesday slash price rang eagerli await initi public offer 85 95 per share 108 135 per share
3,Marsh and McLennan #39;s Chairman Steps Down,"(1010 WINS) (NEW YORK) Marsh and McLennan #39;s chairman and chief executive Jeffrey Greenberg will step down this morning, according to a published report.",24,1010 win new york marsh mclennan 39 chairman chief execut jeffrey greenberg step morn accord publish report
3,Freddie Mac May Face SEC Civil Action," LOS ANGELES (Reuters) - Freddie Mac &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=FRE.N target=/stocks/quickinfo/fullquote""&gt;FRE.N&lt;/A&gt;, the No. 2 U.S.  mortgage finance company, on Wednesday said it may face civil  action from the U.S. Securities and Exchange Commission for  possible violations of securities laws.",37,lo angel reuter freddi mac lta hrefhttpwwwinvestorreuterscomfullquoteaspxtickerfren targetstocksquickinfofullquotegtfrenltagt 2 us mortgag financ compani wednesday said may face civil action us secur exchang commiss possibl violat secur law
4,Apple extends PowerBook screen repair program,Apple Computer is offering free replacement screens to owners of 15-inch PowerBook models whose machines have a flaw that causes the screen to display white spots.,26,appl comput offer free replac screen owner 15inch powerbook model whose machin flaw caus screen display white spot
2,Rapids lose two players in MLS expansion draft,Colorado Rapids defenders Antonio de la Torre and Jeff Stewart were selected by CD Chivas USA in the MLS expansion draft on Friday.,23,colorado rapid defend antonio de la torr jeff stewart select cd chiva usa ml expans draft friday
2,Leader Heras pegged back,"Tour of Spain favourite Roberto Heras lost ground as Spanish compatriot Jose Gutierrez came home alone to win the penultimate stage, a 178-km stretch ending at the summit of Puerto de Navacerrada.",32,tour spain favourit roberto hera lost ground spanish compatriot jose gutierrez came home alon win penultim stage 178km stretch end summit puerto de navacerrada
1,Colombia Rebels May Explore Peace Talks,The smaller of Colombia's two leftist rebel groups offered Tuesday to meet with a Mexican mediator to discuss possible peace talks with the government and reiterated its call for a bilateral cease-fire.,32,smaller colombia two leftist rebel group offer tuesday meet mexican mediat discuss possibl peac talk govern reiter call bilater ceasefir
3,Dollar Sinks to All-Time Low Vs Euro," NEW YORK (Reuters) - The dollar plunged to an all-time low  against the euro on Wednesday ahead of an upcoming G20 finance  ministers' meeting in Berlin, as analysts fretted that  officials would do little to stem the greenback's fall.",39,new york reuter dollar plung alltim low euro wednesday ahead upcom g20 financ minist meet berlin analyst fret offici would littl stem greenback fall
3,EA Reports Higher Quarterly Profits," LOS ANGELES (Reuters) - No. 1 video game maker Electronic  Arts Inc &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ERTS.O target=/stocks/quickinfo/fullquote""&gt;ERTS.O&lt;/A&gt; on Tuesday reported higher quarterly profits  on strong demand for titles like Madden NFL 2005, but its stock  price fell after a holiday forecast fell short of Wall Street  expectations.",45,lo angel reuter 1 video game maker electron art inc lta hrefhttpwwwinvestorreuterscomfullquoteaspxtickerertso targetstocksquickinfofullquotegtertsoltagt tuesday report higher quarterli profit strong demand titl like madden nfl 2005 stock price fell holiday forecast fell short wall street expect
3,British takeover of Spanish bank approved,"Santander, Spain - Shareholders of Spain #39;s largest bank, Banco Santander Central, on Thursday approved the 8,5-billion takeover of British mortgage bank Abbey National.",24,santand spain sharehold spain 39 largest bank banco santand central thursday approv 85billion takeov british mortgag bank abbey nation
1,Likud voters want Sharon to pursue coalition: poll,"JERUSALEM: Most members of Israel #39;s ruling Likud party want Prime Minister Ariel Sharon to press on with talks to widen his coalition despite a vote by the Likud executive barring any such move, a poll showed on Friday.",39,jerusalem member israel 39 rule likud parti want prime minist ariel sharon press talk widen coalit despit vote likud execut bar move poll show friday
3,Dollar Up on Jobless Data," NEW YORK (Reuters) - The dollar edged higher on Thursday  after a report showed first-time claims for U.S. unemployment  dropped steeply, but traders said its significance for Friday's  widely anticipated payrolls report was limited.",34,new york reuter dollar edg higher thursday report show firsttim claim us unemploy drop steepli trader said signific friday wide anticip payrol report limit
4,"Sun, Microsoft Move Focus Of Linux Battle To Leader Red Hat",Sun and Microsoft are using a common strategy to attack a common enemy--Red Hat. Sun President Jonathan Schwartz fired a major counteroffensive against Linux nemesis Red Hat by unveiling hefty discounts on ,32,sun microsoft use common strategi attack common enemyr hat sun presid jonathan schwartz fire major counteroffens linux nemesi red hat unveil hefti discount
3,U.S. Treasuries on Firm Footing (Reuters),"Reuters - U.S. Treasury prices were higher on\Friday, cementing gains made the previous day, in the face of\growing speculation that the pace of U.S. interest rate hikes\could slow.",28,reuter us treasuri price higher onfriday cement gain made previou day face ofgrow specul pace us interest rate hikescould slow
1,AP: Rehnquist Plans to Swear in Bush (AP),"AP - Chief Justice William H. Rehnquist, suffering from thyroid cancer, still plans to preside at President Bush's inauguration on Jan. 20, The Associated Press has learned.",27,ap chief justic william h rehnquist suffer thyroid cancer still plan presid presid bush inaugur jan 20 associ press learn
4,Ubiquitous browser hole an easy target for scammers,"Dec 10, 2004: A new web browser security hole has been uncovered by a security firm, which could provide scammers with the means to launch phishing attacks from pop-up windows on genuine, trusted websites.",34,dec 10 2004 new web browser secur hole uncov secur firm could provid scammer mean launch phish attack popup window genuin trust websit
3,Finance Leaders Urge Vigilance on Terror (Reuters),Reuters - Finance officials from all over the\globe gathered under heavy guard on Sunday to push for a\stepped-up fight against terror financing while warning the\poor must not be forgotten.,29,reuter financ offici theglob gather heavi guard sunday push asteppedup fight terror financ warn thepoor must forgotten
2,A tall order awaits Williams but his dream is within reach,"If Danny Williams did not fully appreciate the sheer size of Vitali Klitschko, he does now. After a series of eyeball-to-eyeball poses for the photographers at yesterday #39;s London press conference to announce ",33,danni william fulli appreci sheer size vitali klitschko seri eyeballtoeyebal pose photograph yesterday 39 london press confer announc
2,UMass Arrests 35 After Game 6 of ALCS (AP),AP - University of Massachusetts police arrested 35 people early Wednesday morning after the Red Sox tied the Yankees in the sixth game of the American League Championship Series.,29,ap univers massachusett polic arrest 35 peopl earli wednesday morn red sox tie yanke sixth game american leagu championship seri
3,Marks  amp; Spencer Announces Shakeup,"Troubled British retailer Marks  amp; Spencer Group PLC announced a management shakeup Tuesday as it reported lower profits in the six months ending Oct. 2. Chief executive Stuart Rose, who recently fought off ",33,troubl british retail mark amp spencer group plc announc manag shakeup tuesday report lower profit six month end oct 2 chief execut stuart rose recent fought
2,"Kuznetsova beats injured Davenport, becomes first Russian woman to &lt;b&gt;...&lt;/b&gt;","Lindsay Davenport hobbled her way out of the US Open, losing a big lead and able to do little but watch Svetlana Kuznetsova win 1-6, 6-2, 6-4 and become the first Russian woman to reach the final at this tournament.",40,lindsay davenport hobbl way us open lose big lead abl littl watch svetlana kuznetsova win 16 62 64 becom first russian woman reach final tournament
3,Global Markets: European Shares Climb," LONDON (Reuters) - European stock markets scaled near-2-1/2  year highs on Friday as oil prices held below \$48 a barrel, and  the euro held off from mounting another assault on \$1.30 but  hovered near record highs against the dollar.",39,london reuter european stock market scale near212 year high friday oil price held 48 barrel euro held mount anoth assault 130 hover near record high dollar
4,The Vision Thing,"Tech companies can #39;t just have products. They have to have a vision. At IBM, it #39;s  quot;on-demand quot; computing. At companies in just about any business more complicated than hubcaps, it #39;s  quot;selling solutions.",35,tech compani 39t product vision ibm 39 quotondemand quot comput compani busi complic hubcap 39 quotsel solut
1,Wartime security as Karzai campaigns amid spiralling violence (AFP),AFP - Wartime security was rolled out for Afghanistan's interim President Hamid Karzai as he addressed his first election campaign rally outside the capital amidst spiralling violence.,27,afp wartim secur roll afghanistan interim presid hamid karzai address first elect campaign ralli outsid capit amidst spiral violenc
4,"Mercury Astronaut Gordon Cooper, 77","Gordon Cooper, 77, one of the seven original US astronauts, who made the nation #39;s first manned spaceflights and became known as possessors of  quot;The Right Stuff, quot; died yesterday at his home in Ventura, Calif.",36,gordon cooper 77 one seven origin us astronaut made nation 39 first man spaceflight becam known possessor quotth right stuff quot die yesterday home ventura calif
2,Gardenhire #39;s instincts are unreliable,"They show up at prom with the prettiest girl in school, then get your date #39;s phone number and wink at you on the way out the door.",28,show prom prettiest girl school get date 39 phone number wink way door
2,Red Sox Rally Past Yankees in Ninth (AP),"AP - After coming back against Mariano Rivera for the second time this season, the Boston Red Sox think they'll overtake the New York Yankees in the AL East. Orlando Cabrera and Johnny Damon hit RBI singles in the ninth inning Friday night in Boston's 3-2 victory that cut the Yankees' lead to 2 1/2 games.",56,ap come back mariano rivera second time season boston red sox think theyll overtak new york yanke al east orlando cabrera johnni damon hit rbi singl ninth inning friday night boston 32 victori cut yanke lead 2 12 game
2,Miracle in Athens a gold-medal drama,"ATHENS, Greece -- If you recall, my concerns involved car bombings, kidnappings, beheadings and Al Qaeda. So when the scariest moment of the Olympics involves a defrocked, kilt-wearing Irish priest who tackles ",32,athen greec recal concern involv car bomb kidnap behead al qaeda scariest moment olymp involv defrock kiltwear irish priest tackl
1,Talks Continue After China Hostage Deadline Passes," CHAGMALAI, Pakistan (Reuters) - Islamic militants holding  two Chinese engineers hostage in Pakistan threatened to kill  one on Monday unless security forces ended a siege of their  hideout, a tactic the interior minister said had echoes of  Iraq.",38,chagmalai pakistan reuter islam milit hold two chines engin hostag pakistan threaten kill one monday unless secur forc end sieg hideout tactic interior minist said echo iraq
1,Rivals in Ukraine Agree to Negotiate Over Vote,"The two candidates claiming to be president-elect agreed to negotiations, the first sign of an easing of tensions that have risked leading the nation toward civil war.",27,two candid claim presidentelect agre negoti first sign eas tension risk lead nation toward civil war
3,"Softbank, Dentsu, Nippon Meat to Join Nikkei 225 Next Month","Softbank Corp., Dentsu Inc. and Nippon Meat Packers Inc. will be added to the Nikkei 225 Stock Average, the compiler of the 55-year-old benchmark said.",25,softbank corp dentsu inc nippon meat packer inc ad nikkei 225 stock averag compil 55yearold benchmark said
1,US running mates face off,The US vice-presidential candidates will debate on Tuesday as the race for the White House remains close.,17,us vicepresidenti candid debat tuesday race white hous remain close
4,"The 6670, Nokia #39;s new smartphone","Launching the latest addition to a now-extensive line of smartphones, Nokia has unveiled the megapixel-enabled 6670 - better described as the serious cousin of the 7610.",26,launch latest addit nowextens line smartphon nokia unveil megapixelen 6670 better describ seriou cousin 7610
4,"Hitachi, Matsushita, Toshiba in LCD Venture","Japan's Hitachi Ltd., Matsushita Electric Industrial Co. and Toshiba Corp. struck a deal to jointly make displays for flat-screen televisions, starting as early as July 2006, the companies said Tuesday.",30,japan hitachi ltd matsushita electr industri co toshiba corp struck deal jointli make display flatscreen televis start earli juli 2006 compani said tuesday
2,Former Kan. Junior College Coach Indicted,"WICHITA, Kan. Dec 14, 2004 - A former junior college basketball coach was indicted on charges that he provided false academic information about his athletes to Division I schools looking to recruit the players.",34,wichita kan dec 14 2004 former junior colleg basketbal coach indict charg provid fals academ inform athlet divis school look recruit player
4,Google Faces Challenge of Public Company Status (washingtonpost.com),"washingtonpost.com - Your name is synonymous with searching the Internet, and you've just raised roughly  #36;1.7 billion from investors by going public. What are you going to do now?",29,washingtonpostcom name synonym search internet youv rais roughli 3617 billion investor go public go
3,World economy at risk if oil prices remain high: Conference Board,"OTTAWA - World economic growth will be at risk next year if oil prices remain near all-time highs well into next year, the Conference Board of Canada said Friday.",29,ottawa world econom growth risk next year oil price remain near alltim high well next year confer board canada said friday
3,Houston firm to buy Greensboro petroleum terminal,"Kinder Morgan Energy Partners LP in Houston has signed a definitive agreement to buy nine refined petroleum products terminals in the Southeast, including one in Greensboro, from Charter Terminal Co.",30,kinder morgan energi partner lp houston sign definit agreement buy nine refin petroleum product termin southeast includ one greensboro charter termin co
4,Lost Votes in N.M. a Cautionary Tale,"Four years ago, about 2,300 voters cast their ballots before Election Day on state-of-the-art, push-button electronic voting machines. For 678 of them, their votes were never recorded.&lt;br&gt;&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;",34,four year ago 2300 voter cast ballot elect day stateoftheart pushbutton electron vote machin 678 vote never recordedltbrgtltfont faceverdanam san serifarialhelvetica size2 color666666gtltbgtth washington postltbgtltfontgt
2,Chiefs Staying Positive Before Home Game,"They will be playing at home and this is not a playoff game, so the Kansas City Chiefs have every reason to expect that they will look like a completely different team when they face the Carolina Panthers on Sunday in a tussle between 0-1 teams.",46,play home playoff game kansa citi chief everi reason expect look like complet differ team face carolina panther sunday tussl 01 team
2,McGrady receives a three-year extension,"The Rockets made McGrady smile Monday, giving him a three-year contract extension worth \$63 million. That, coupled with the three years he had remaining on his existing ",27,rocket made mcgradi smile monday give threeyear contract extens worth 63 million coupl three year remain exist
4,Stowers Expansion Hinges On Stem Cell Research,"KANSAS CITY, Mo. -- The Stowers Institute of Medical Research will not build its second center in Missouri if the state outlaws stem cell research, Stowers president William Neaves said Friday.",31,kansa citi mo stower institut medic research build second center missouri state outlaw stem cell research stower presid william neav said friday
1,N. Koreans Seek Asylum in Beijing School,"Chinese parents pick up their children at the gate of the Korean School in Beijing Friday Oct. 22, 2004. As many as 29 North Korean asylum seekers entered the school earlier Friday, and told school authorities ",36,chines parent pick children gate korean school beij friday oct 22 2004 mani 29 north korean asylum seeker enter school earlier friday told school author
4,Speech recognition  #39;on-a-chip #39; inside three years,"The US National Science Foundation has awarded a \$1m grant to researchers in the US who want to put speech recognition on a chip, a move the project #39;s proponents claim will revolutionise the way we communicate.",37,us nation scienc foundat award 1m grant research us want put speech recognit chip move project 39 propon claim revolutionis way commun
3,Evening Gazette Our Say,The Royal Mail #39;s proud boast that it is making 1m a day profit will come as little consolation to those who feel the service is still poor.,28,royal mail 39 proud boast make 1m day profit come littl consol feel servic still poor
4,European craft to probe  #39;moon colonies #39;,A tiny craft powered by Star Trek #39; technology is standing at the  quot;gateway quot; to the moon - and a landmark date in the history of European space exploration.,30,tini craft power star trek 39 technolog stand quotgateway quot moon landmark date histori european space explor
2,Mets to interview Backman,"The Mets may reach back into one of their most successful eras in their manager search. Wally Backman, the sparkplug second baseman on the 1986 championship team ",27,met may reach back one success era manag search walli backman sparkplug second baseman 1986 championship team
3,Feds Indict CA Ex-CEO Kumar,Months of legal woes and executive shuffling came to a resolution of sorts last week for Computer Associates. Federal prosecutors indicted former CEO Sanjay Kumar for back-dating contracts ,28,month legal woe execut shuffl came resolut sort last week comput associ feder prosecutor indict former ceo sanjay kumar backdat contract
4,Apple #39;s iMac is no longer flagship product,"The last time Apple Computer Inc. introduced an all-new iMac computer, back in January 2002, Apple Chief Executive Steve Jobs was featured smiling with the desktop on the cover of Time magazine.",32,last time appl comput inc introduc allnew imac comput back januari 2002 appl chief execut steve job featur smile desktop cover time magazin
2,Last-minute TD stops Maine,"Justin Rascati completed 19 of 28 passes for 197 yards and two touchdowns, including a game-winning 23-yarder to D.D. Boxley with 47 seconds remaining, as James Madison stayed undefeated in the Atlantic 10 with a 24-20 victory over Maine at Orono yesterday.",42,justin rascati complet 19 28 pass 197 yard two touchdown includ gamewin 23yarder dd boxley 47 second remain jame madison stay undef atlant 10 2420 victori main orono yesterday
2,Gallacher #39;s wedge shot wraps up  #39;dream #39; title,A famous name once more adorns a European Tour trophy after Stephen Gallacher won the Dunhill Links Championship yesterday at St Andrews.,22,famou name adorn european tour trophi stephen gallach dunhil link championship yesterday st andrew
2,Cowboys bring out the worst in Garcia,"IRVING, Texas - Browns quarterback Jeff Garcia didn #39;t need a complicated formula to tell him he played the worst game of his career.",24,irv texa brown quarterback jeff garcia 39t need complic formula tell play worst game career
3,"Payrolls Grow, But Miss Target","(CBS/AP) The Labor Department said Friday that employers #39; payrolls increased by 96,000 overall in September while the unemployment rate held steady at 5.4 percent.",25,cbsap labor depart said friday employ 39 payrol increas 96000 overal septemb unemploy rate held steadi 54 percent
3,Famous film maker put up for sale,"Ilford Imaging, the world's largest producer of black and white camera film, is up for sale after going into administration.",20,ilford imag world largest produc black white camera film sale go administr
